
ádfasdf	ádfasdfasdf
fuel	 chất đốt, nhiên liệu
full	đầy, đầy đủ
fully	đầy đủ, hoàn toàn
fun	/fʌn/  sự vui đùa, sự vui thích; hài hước
function	/ˈfʌŋkʃən/  chức năng; họat động, chạy (máy)
fund	/fʌnd/ kho, quỹ; tài trợ, tiền bạc, để tiền vào công quỹ
fundamental	 cơ bản, cơ sở, chủ yếu
funeral	 lễ tang, đám  tang
funny	buồn cười, khôi hài
fur	bộ da lông thú
furniture	đồ đạc (trong nhà)
further	xa hơn nữa; thêm nữa
further,	so sánh của far
future	/'fju:tʃə/  tương lai
gain	/geɪn/ lợi, lợi ích; giành được, kiếm được, đạt tới
gallon	Galông 1gl =  4, 54 lít ở Anh, 3, 78 lít ở Mỹ
gamble	/'gæmbl/  đánh bạc; cuộc đánh bạc
gambling	trò cờ bạc
game	trò chơi
gap	đèo, lỗ hổng, kẽ hở; chỗ trống
garage	nhà để ô tô
garbage	NAmE) /ˈgɑrbɪdʒ/  lòng, ruột (thú)
garden	vườn
gas	khí, hơi đốt
gasoline	/gasolin/ dầu lửa, dầu hỏa, xăng
gate	cổng
gather	tập hợp; hái, lượm, thu thập
gear	cơ cấu, thiết bị, dụng cụ
general	 chung, chung chung; tổng
generally	nói chung, đại thể
generate	sinh, đẻ ra
generation	sự sinh ra, sự phát sinh ra; thế hệ, đời
generous	rộng lượng, khoan hồng, hào phóng
generously	rộng lượng, hào phóng
gentle	hiền lành, dịu dàng, nhẹ nhàng
gentleman	 người quý phái, người thượng lưu
gently	 nhẹ nhàng, êm ái, dịu dàng
genuine	thành thật, chân thật; xác thực
genuinely	thành thật, chân thật
geography	địa lý, khoa địa lý
get	được, có được
get	trèo lên
get	ra khỏi, thoát khỏi
giant	/ˈdʒaiənt/  người khổng lồ, người phi thường; khổng lồ, phi thường
gift	quà tặng
girl	con gái
girlfriend	bạn gái, người yêu
give	 sinh ra
give	 cho, biếu, tặng
give	cho, phát
give	chia, phân phối
give	bỏ, từ bỏ
glad	vui lòng, sung sướng
glass	 kính, thủy tinh, cái cốc, ly
glasses	đeo mắt
global	/´gloubl/ toàn cầu, toàn thể, toàn bộ
glove	 bao tay, găng tay
glue	/glu:/  keo, hồ; gắn lại, dán bằng keo, hồ
go	thỉu, thối, hỏng
go	 đi
go	xuống
go	lên
go	lỗi, sai lầm
goal	/goƱl/
god	thần, Chúa
gold	/goʊld/ vàng; bằng vàng
good	/gud/ tốt, hay, tuyệt; điều tốt, điều thiện
good	bộ ở
good	lợi cho
good,	/wel/ tốt, khỏe
goodbye	/¸gud´bai/ tạm biệt; lời chào tạm biệt
goods	của cải, tài sản, hàng hóa
govern	cai trị, thống trị, cầm quyền
government	, ˈgʌvərmənt/ chính phủ, nội các; sự cai trị
governor	thủ lĩnh, chủ; kẻ thống trị
grab	túm lấy, vồ, chộp lấy
grade	/greɪd/ điểm, điểm số; phân loại, xếp loại
gradual	dần dần, từng bước một
gradually	dần dần, từ từ
grain	thóc lúa, hạt, hột; tính chất, bản chất
gram	đậu xanh
gram	gramme) n. (abbr. g, gm) /'græm/ ngữ pháp
grammar	 văn phạm
grand	rộng lớn, vĩ đại
grandchild	cháu (của ông bà)
granddaughter	cháu gái
grandfather	ông
grandmother	bà
grandparent	ông bà
grandson	cháu trai
grant	/grα:nt/ cho, ban, cấp; sự cho, sự ban, sự cấp
grass	 cỏ; bãi cỏ, đồng cỏ
grateful	biết ơn, dễ chịu, khoan khoái
grave	/greiv/ mộ, dấu huyền; trang nghiêm, nghiêm trọng
gray(NAmE)	hoa râm (tóc)
great	to, lớn, vĩ đại
greatly	rất, lắm; cao thượng, cao cả
green	/grin/ xanh lá cây
grey	hoa râm (tóc)
grey	usually gray) adj., n.
groceries	ˈgroʊsri/ hàng tạp hóa
grocery	grocery store) n. /´grousəri/ cửa hàng tạp phẩm
ground	mặt đất, đất,  bãi đất
group	nhóm
grow	mọc, mọc lên
grow	lên, trưởng thành
growth	sự lớn lên, sự phát triển
guarantee	/ˌgærənˈti/ sự bảo hành, bảo lãnh, người bảo lãnh; cam đoan, bảo đảm
guard	/ga:d/ cái chắn, người bảo vệ; bảo vệ, gác, canh giữ
guess	/ges/ đoán, phỏng đoán; sự đoán, sự ước chừng
guest	khách, khách mời
guide	/gaɪd/ điều chỉ dẫn, người hướng dẫn; dẫn đường, chỉ đường
guilty	có tội, phạm tội, tội lỗi
gun	súng
guy	bù nhìn, anh chàng, gã
habit	thói quen, tập quán
hair	tóc
hairdresser	thợ làm tóc
half	pron., adv. /hɑ:f/ một nửa, phần chia đôi, nửa giờ; nửa
hall	đại sảnh, tòa (thị chính), hội trường
hammer	búa
hand	/hænd/ tay, bàn tay; trao tay, truyền cho
handle	/'hændl/ cầm, sờ mó; tay cầm, móc quai
hang	treo, mắc
happen	 xảy ra, xảy đến
happily	sung sướng, hạnh phúc
happiness	 sự sung sướng, hạnh phúc
happy	 vui sướng, hạnh phúc
hard	/ha:d/  cứng, rắn, hà khắc; hết sức cố gắng, tích cực
hardly	khắc nghiệt, nghiêm khắc, tàn tệ, khó khăn
harm	/hɑ:m/ thiệt hại, tổn hao; làm hại, gây thiệt hại
harmful	gây tai hại, có hại
harmless	không có hại
hat	 cái mũ
hate	/heit/  ghét; lòng căm ghét, thù hận
hatred	 lòng căm thì, sự căm ghét
have	v. /hæv, həv/  có
have	v. phải (bắt buộc, có bổn phận phải)
he	nó, anh ấy, ông ấy
head	/hed/ cái đầu (người, thú); chỉ huy, lãnh đại, dẫn đầu
headache	 chứng nhức đầu
heal	chữa khỏi, làm lành
health	sức khỏe, thể chất, sự lành mạnh
healthy	khỏe mạnh, lành mạnh
hear	 nghe
hearing	sự nghe, thính giác
heart	tim, trái tim
heat	/hi:t/ hơi nóng, sức nóng
heating	sự đốt nóng, sự làm nóng
heaven	 thiên đường
heavily	nặng, nặng nề
heavy	nặng, nặng nề
heel	 gót chân
height	chiều cao, độ cao; đỉnh, điểm cao
hell	địa ngục
hello	/hз'lou/ chào, xin chào; lời chào
help	/'help/ giúp đỡ; sự giúp đỡ
helpful	có ích; giúp đỡ
hence	sau đây, kể từ đây; do đó, vì thế
her	/hз:/ nó, chị ấy, cô ấy, bà ấy
here	đây, ở đây
hero	 người anh hùng
hers	cái của nó, cái của cô ấy, cái của chị ấy, cái của bà ấy
herself	chính nó, chính cô ta, chính chị ta, chính bà ta
hesitate	 ngập ngừng, do dự
hide	trốn, ẩn nấp; che giấu
high	/hai/  cao, ở mức độ cao
highlight	/ˈhaɪˌlaɪt/ làm nổi bật, nêu bật; chỗ nổi bật nhất, đẹp, sáng nhất
highly	tốt, cao; hết sức, ở mức độ cao
highway	NAmE) /´haiwei/ đường quốc lộ
hill	đồi
him	nó, hắn, ông ấy, anh ấy
himself	chính nó, chính hắn, chính ông ta, chính anh ta
hip	hông
hire	/haiə/ thuê, cho thuê (nhà...); sự thuê, sự cho thuê
his	/hiz/ của nó, của hắn, của ông ấy, của anh ấy; cái của nó, cái của hắn, cái của ông ấy, cái của anh ấy
historical	lịch sử, thuộc lịch sử
history	lịch sử, sử học
hit	/hit/ đánh, đấm, ném trúng; đòn, cú đấm
hobby	sở thích riêng
hold	/hould/ cầm, nắm, giữ; sự cầm, sự nắm giữ
hole	lỗ, lỗ trống; hang
holiday	 ngày lễ, ngày nghỉ
hollow	rỗng, trống rỗng
holy	 linh thiêng; sùng đạo
home	/hoʊm/ nhà; ở tại nhà, nước mình
homework	bài tập về nhà (học sinh), công việc làm ở nhà
honest	lương thiện, trung thực, chân thật
honestly	lương thiện, trung thực, chân thật
honour	honor) n. /'onз/ danh dự, thanh danh, lòng kính trọng
hook	cái móc; bản lề; lưỡi câu
hope	/houp/  hy vọng; nguồn hy vọng
horizontal	(thuộc) chân trời, ở chân trời; ngang, nằm ngang (trục hoành)
horn	sừng (trâu, bò...)
horror	điều kinh khủng, sự ghê rợn
horse	 ngựa
hospital	bệnh viện, nhà thương
host	/houst/ chủ nhà, chủ tiệc; dẫn (c.trình), đăng cai tổ chức (hội nghị....)
hot	nóng, nóng bức
hotel	khách sạn
hour	giờ
house	 nhà, căn nhà, toàn nhà
household	/´haushould/ hộ, gia đình; (thuộc) gia đình
housing	nơi ăn chốn ở
how	thế nào, như thế nào, làm sao, ra sao
however	tuy nhiên, tuy vậy, dù thế nào
huge	to lớn, khổng lồ
human	/'hju:mən/  (thuộc) con người, loài người
humorous	hài hước, hóm hỉnh
humour	humor) n. /´hju:mə/ sự hài hước, sự hóm hỉnh
hungry	đó
hunt	săn, đi săn
hunting	sự đi săn
hurry	/ˈhɜri , ˈhʌri/ sự vội vàng, sự gấp rút
hurt	 làm bị thương, gây thiệt hại
husband	người chồng
i.e.	là, tức là ( Id est)
ice	băng, nước đá
ice	kem
idea	ý tưởng, quan niệm
ideal	/aɪˈdiəl, aɪˈdil/ (thuộc) quan niệm, tư tưởng; lý tưởng
ideally	lý tưởng, đúng như lý tưởng
identify	nhận biết, nhận ra, nhận dạng
identity	cá tính, nét nhận dạng; tính đồng nhất, giống hệt
if	nếu, nếu như
ignore	phớt lờ, tỏ ra không biết đến
ill	BrE) /il/ ốm
illegal	trái luật, bất hợp pháp
illegally	trái luật, bất hợp pháp
illness	sự đau yếu, ốm, bệnh tật
illustrate	minh họa, làm rõ ý
image	ảnh, hình ảnh
imaginary	tưởng tượng, ảo
imagination	trí tưởng tượng, sự tưởng tượng
imagine	tưởng tượng, hình dung; tưởng rằng, cho rằng
immediate	lập tức, tức thì
immediately	ngay lập tức
immoral	trái đạo đức, luân lý; xấu xa
impact	sự và chạm, sự tác động, ảnh hưởng
impatient	 thiếu kiên nhẫn, nóng vội
impatiently	nóng lòng, sốt ruột
implication	sự lôi kéo, sự liên can, điều gợi ý
imply	ngụ ý, bao hàm
import	import sự nhập, sự nhập khẩu; nhập, nhập khẩu
importance	sự quan trọng, tầm quan trọng
important	 quan trọng, hệ trọng
importantly	quan trọng, trọng yếu
impose	đánh (thuế...), bắt gánh vác; đánh tráo, lợi dụng
impossible	không thể làm được, không thể xảy ra
impress	ghi, khắc, in sâu vào; gây ấn tượng, làm cảm động
impressed	ghi, khắc, in sâu vào
impression	ấn tượng, cảm giác; sự in, đóng dấu
impressive	gấy ấn tượng mạnh; hùng vĩ, oai vệ
improve	cải thiện, cái tiến, mở mang
improvement	sự cái thiện, sự cải tiến, sự mở mang
in-a-hurry	hối hả, gấp rút
in-advance	sớm
in-case-(of)	nếu......
in-charge-of	trách
in-common	của chung
in-control-(of)	điều khiển của
in-detail	tỉ mỉ
in-exchange-(for)	trao đổi về
in-favour/favor-(of)	cái gì (to be in favour of something )
in-front-(of)	trước
in-general	đại khái
in-honour/honor-of	lòng tôn kính, trân trọng đối với
in-memory-of	nhớ
in-order-to	lệ
in-prep.,	ở, tại, trong; vào
in-public	chúng, công khai
in-the-end	về sau
inability	sự bất lực, bất tài
inch	insơ (đơn vị đo chiều dài Anh bằng 2, 54 cm)
incident	việc xảy ra, việc có liên quan
include	 bao gồm, tính cả
including	bao gồm, kể cả
income	lợi tức, thu nhập
increase	/in'kri:s/or/'inkri:s/  tăng, tăng thêm; sự tăng, sự tăng thêm
increasingly	tăng thêm
indeed	thật vậy, quả thật
independence	sự độc lập, nền độc lập
independent	độc lập
independently	độc lập
index	chỉ số, sự biểu thị
indicate	chỉ, cho biết; biểu thị, trình bày ngắn gọn
indication	sự chỉ, sự biểu thị, sự biểu lộ
indirect	gián tiếp
indirectly	gián tiếp
individual	/indivídʤuəl/  riêng, riêng biệt; cá nhân
indoor	trong nhà
indoors	ở trong nhà
industrial	(thuộc) công nghiệp, kỹ nghệ
industry	công nghiệp, kỹ nghệ
inevitable	không thể tránh được, chắc chắn xảy ra; vẫn thường thấy, nghe
inevitably	chắc chắn
infect	nhiễm, tiêm nhiễm, đầu độc, lan truyền
infected	nhiễm, bị đầu độc
infection	sự nhiễm, sự đầu độc
infectious	lây, nhiễm
influence	/ˈɪnfluəns/ sự ảnh hưởng, sự tác dụng; ảnh hưởng, tác động
inform	báo cho biết, cung cấp tin tức
informal	không chính thức, không nghi thức
information	 tin tức, tài liệu, kiến thức
ingredient	phần hợp thành, thành phần
initial	/i'ni∫зl/ ban đầu, lúc đầu; chữ đầu (của 1 tên gọi)
initially	vào lúc ban đầu, ban đầu
initiative	, ɪˈnɪʃətɪv/ bước đầu, sự khởi đầu
injure	làm tổn thương, làm hại, xúc phạm
injured	bị tổn thương, bị xúc phạm
injury	sự làm tổn thương, làm hại; điều hại, điều tổn hại
ink	mực
inner	ở trong, nội bộ; thân cận
innocent	vô tội, trong trắng, ngây thơ
insect	sâu bọ, côn trùng
insert	chèn vào, lồng vào
inside	n., adj. /'in'said/ mặt trong, phía, phần trong; ở trong, nội bộ
insist	/in'sist/ cứ nhất định, cứ khăng khăng
install	 đặt (hệ thống máy móc, thiết bị...)
instance	thí dị, ví dụ; trường hợp cá biệt
instead	để thay thế
instead-of	cho
institute	viện, học viện
institution	,insti'tju:ʃn ; US ,insti'tu:ʃn/  sự thành lập, lập; cơ quan, trụ sở
instruction	sự dạy, tài liệu cung cấp
instrument	dụng cụ âm nhạc khí
insult	/'insʌlt/ lăng mạ, xỉ nhục; lời lăng mạ, sự xỉ nhục
insulting	lăng mạ, xỉ nhục
insurance	 sự bảo hiểm
intelligence	 sự hiểu biết, trí thông minh
intelligent	thông minh, sáng trí
intend	ý định, có ý định
intended	có ý định, có dụng ý
intention	ý định, mục đích
interest	/ˈɪntərest/ or /ˈɪntrest/ sự thích thú, sự quan tâm, chú ý; làm quan tâm, làm chú ý
interested	thích thú, có quan tâm, có chú ý
interesting	làm thích thú, làm quan tâm, làm chú ý
interior	/in'teriə/ phần trong, phía trong; ở trong, ở phía trong
internal	ở trong, bên trong, nội địa
international	quốc tế
internet	liên mạng
interpret	giải thích
interpretation	 sự giải thích
interrupt	làm gián đoạn, ngắt lời
interruption	sự gián đoạn, sự ngắt lời
interval	 khoảng (k-t.gian), khoảng cách
interview	/'intəvju:/ cuộc phỏng vấn, sự gặp mặt; phỏng vấn, nói chuyện riêng
into	or /'intə/ vào, vào trong
introduce	giới thiệu
introduction	sự giới thiệu, lời giới thiệu
invent	 phát minh, sáng chế
invention	sự phát minh, sự sáng chế
invest	đầu tư
investigate	điều tra, nghiên cứu
investigation	sự điều tra, nghiên cứu
investment	sự đầu tư, vốn đầu tư
invitation	 lời mời, sự mời
invite	/  mời
involve	 bao gồm, bao hàm; thu hút, dồn tâm trí
involved	hết tâm trí vào
involvement	sự gồm, sự bao hàm; sự để, dồn hết tâm trí vào
iron	/aɪən / sắt; bọc sắt
irritate	làm phát cáu, chọc tức
irritated	tức giận, cáu tiết
irritating	làm phát cáu, chọc tức
island	hòn đảo
issue	/ɪʃuː; BrE also ɪsjuː/  sự phát ra, sự phát sinh; phát hành, đưa ra
it	/it/ cái đó, điều đó, con vật đó
item	tin tức; khoản.., món..., tiết mục
its	của cái đó, của điều đó, của con vật đó; cái của điều đó, cái của con vật đó
itself	chính cái đó, chính điều đó, chính con vật đó
jacket	 áo vét
jam	mứt
january	Jan.) /'ʤænjuəri/ tháng giêng
jealous	ghen,, ghen tị
jeans	quần bò, quần zin
jelly	thạch
jewellery	jewelry) n. /'dʤu:əlri/ nữ trang, kim hoàn
job	 việc, việc làm
join	gia nhập, tham gia; nối, chắp, ghép
joint	/dʒɔɪnt/ chung (giữa 2 người hoặc hơn); chỗ nối, đầu nối
jointly	cùng nhau, cùng chung
joke	/dʒouk/  trò cười, lời nói đùa; nói đùa, giễu cợt
journalist	nhà báo
journey	cuộc hành trình (đường bộ); quãng đường, chặng đường đi
joy	niềm vui, sự vui mừng
judge	/dʒʌdʒ/  xét xử, phân xử; quan tòa, thẩm phán
judgement	especially in NAmE) n. /'dʤʌdʤmənt/  sự xét xử
juice	nước ép (rau, củ, quả)
july	Jul.) /dʒu´lai/ tháng 7
jump	/dʒʌmp/  nhảy; sự nhảy, bước nhảy
june	Jun.) /dЗu:n/ tháng 6
junior	/´dʒu:niə/ trẻ hơn, ít tuổi hơn; người ít tuổi hơn
just	đúng, vừa đủ; vừa mới, chỉ
justice	sự công bằng
justified	hợp lý, được chứng minh là đúng
justify	bào chữa, biện hộ
keen	sắc, bén
keen	mê, ưa thích
keep	giữ, giữ lại
key	/ki:/ chìa khóa, khóa, thuộc (khóa)
keyboard	bàn phím
kick	/kick/ đá; cú đá
kid	 con dê non
kill	giết, tiêu diệt
killing	sự giết chóc, sự tàn sát
kilogram	kilogramme) (also kilo) n. (abbr. kg) /´kilou¸græm/ Kilôgam
kilometre	kilometer) n. (abbr. k, km) /´kilə¸mi:tə/ Kilômet
kilometre	Kilômet
kind	/kaind/ loại, giống; tử tế, có lòng tốt
kindly	tử tế, tốt bụng
kindness	 sự tử tế, lòng tốt
king	 vua, quốc vương
kiss	/kis/ hôn, cái hôn
kitchen	bếp
knee	đầu gối
knife	con dao
knit	đan, thêu
knitted	được đan, được thêu
knitting	việc đan; hàng dệt kim
knock	/nɔk/ đánh, đập; cú đánh
knot	cái nơ; điểm nút, điểm trung tâm
know	 biết
knowledge	sự hiểu biết, tri thức
label	/leibl/ nhãn, mác; dán nhãn, ghi mác
laboratory,	/ˈlæbrəˌtɔri/ phòng thí nghiệm
labour	labor) n. /'leibз/ lao động; công việc
lack	/læk/ sự thiếu; thiếu
lacking	ngu đần, ngây ngô
lady	 người yêu, vợ, quý bà, tiểu thư
lake	hồ
lamp	đèn
land	/lænd/ đất, đất canh tác, đất đai
landscape	 phong cảnh
lane	đường nhỏ (làng, hẻm phố)
language	 ngôn ngữ
large	rộng, lớn, to
largely	phong phú, ở mức độ lớn
last	n., v. /lɑ:st/ lầm cuối, sau cùng; người cuối cùng;  cuối cùng, rốt hết; kéo dài
late	/leit/ trễ, muộn
later	/leɪtə(r)/ chậm hơn
latest	/leitist/ muộn nhất, chậm nhất, gần đây nhất
latter	/´lætə/ sau cùng, gần đây, mới đây
laugh	/lɑ:f/  cười; tiếng cười
launch	/lɔ:ntʃ/ hạ thủy (tàu); khai trương; sự hạ thủy, buổi giới thiệu sản phầm
law	luật
lawyer	, ˈlɔɪər/  luật sư
lay	xếp, đặt, bố trí
layer	lớp
lazy	lười biếng
lead	n. lãnh đạo, dẫn dắt; sự lãnh đạo, sự hướng dẫn
leader	người lãnh đạo, lãnh tụ
leading	lãnh đạo, dẫn đầu
leaf	lá cây, lá (vàng...)
league	liên minh, liên hoàn
lean	nghiêng, dựa, ỷ vào
learn	lə:n/  học, nghiên cứu
least	adv. /li:st/  tối thiểu; ít nhất
leather	da thuộc
leave	bỏ đi, rời đi, để lại
leave	quên, bỏ sót
lecture	bài diễn thuyết, bài thuyết trình, bài nói chuyện
left	n. /left/ bên trái; về phía trái
leg	chân (người, thú, bàn...)
legal	hợp pháp
legally	hợp pháp
lemon	quả chanh
lend	 cho vay, cho mượn
length	chiều dài, độ dài
less	adv. /les/ nhỏ bé, ít hơn; số lượng ít hơn
lesson	bài học
let	cho phép, để cho
letter	 thư; chữ cái, mẫu tự
level	/'levl/  trình độ, cấp, vị trí; bằng, ngang bằng
library	 thư viện
licence	license) n. /ˈlaɪsəns/ bằng, chứng chỉ, bằng cử nhân; sự cho phép
license	cấp chứng chỉ, cấp bằng, cho phép
lid	nắp, vung (xoong, nồi..); mi mắt (eyelid)
lie	/lai/  nói dối; lời nói dối, sự dối trá
life	đời, sự sống
lift	/lift/ giơ lên, nhấc lên; sự nâng, sự nhấc lên
light	v. /lait/ ánh sáng; nhẹ, nhẹ nhàng; đốt, thắp sáng
lightly	nhẹ nhàng
like	conj. /laik/ giống như; thích; như
likely	/´laikli/ có thể đúng, có thể xảy ra, có khả năng; có thể, chắc vậy
limit	/'limit/ giới hạn,  ranh giới; giới hạn, hạn chế
limited	hạn chế, có giới hạn
line	dây, đường, tuyến
link	/lɪɳk/ mắt xích, mối liên lạc; liên kết, kết nối
lip	môi
liquid	/'likwid/  chất lỏng; lỏng, êm ái, du dương, không vững
list	/list/ danh sách; ghi vào danh sách
listen	/'lisn/ nghe, lắng nghe
literature	văn chương, văn học
litre	lít
litre	liter) n. (abbr. l) /´li:tə/ lít
little	pron., adv. /'lit(ә)l/ nhỏ, bé, chút ít; không nhiều; một chút
live	/liv/ sống, hoạt động
live	sống
lively	sống, sinh động
living	sống, đang sống
load	/loud/ gánh nặng, vật nặng; chất, chở
loan	 sự vay mượn
local	địa phương, bộ phận, cục bộ
locally	có tính chất địa phương, cục bộ
locate	xác định vị trí, định vị
located	định vị
location	vị trí, sự định vị
lock	/lɔk/  khóa; khóa
logic	 lô gic
logical	hợp lý, hợp logic
lonely	cô đơn, bơ vơ
long	/lɔɳ/ dài, xa; lâu
look	/luk/ nhìn; cái nhìn
look-after	trông nom, chăm sóc
look-at	xem
look-for	kiếm
look-forward-to	cách hân hoan
loose	lỏng, không chặt
loosely	lỏng lẻo
lord	 Chúa, vua
lorry	/´lɔ:ri/ xe tải
lose	mất, thua, lạc
loss	, lɒs/  sự mất, sự thua
lost	thua, mất
lot:	(of) (also lots (of)) pron., det., adv. /lɒt/ số lượng lớn; rất nhiều
loud	/laud/ to, inh ỏi, ầm ĩ; to, lớn (nói)
loudly	ầm ĩ, inh ỏi
love	/lʌv/ tình yêu, lòng yêu thương; yêu, thích
lovely	đẹp, xinh xắn, có duyên
lover	người yêu, người tình
low	/lou/ thấp, bé, lùn
loyal	trung thành, trung kiên
luck	may mắn, vận may
lucky	gặp may, gặp may mắn, hạnh phúc
luggage	BrE) /'lʌgiʤ/  hành lý
lump	cục, tảng, miếng; cái bướu
lunch	 bữa ăn trưa
lung	phổi
machine	máy, máy móc
machinery	máy móc, thiết bị
mad	điên, mất trí; bực điên người
magazine	tạp chí
magic	/'mæʤik/ ma thuật, ảo thuật; (thuộc) ma thuật, ảo thuật
mail	/meil/ thư từ, bưu kiện; gửi qua bưu điện
main	chính, chủ yếu, trọng yếu nhất
mainly	chính, chủ yếu, phần lớn
maintain	giữ gìn, duy trì, bảo vệ
major	lớn, nhiều hơn, trọng đại, chủ yếu
majority	phần lớn, đa số, ưu thế
make	/meik/ làm, chế tạo; sự chế tạo
make-friends-(with)	với
make-fun-of	chế giễu, chế nhạo
make-sth-up	cấu thành, gộp thành
make-sure	làm cho chắc chắn
make-up	đồ hóa trang, son phấn
male	/meil/ trai, trống, đực; con trai, đàn ông, con trống, đực
mall	NAmE) /mɔ:l/ búa
man	con người; đàn ông
manage	quản lý, trông nom, điều khiển
management	sự quản lý, sự trông nom, sự điều khiển
manager	người quản lý, giám đốc
manner	cách, lối, kiểu; dáng, vẻ, thái độ
manufacture	/,mænju'fæktʃə/
manufacturer	người chế tạo, người sản xuất
manufacturing	sự sản xuất, sự chế tạo
many	/'meni/ nhiều
map	 bản đồ
march	Mar.) /mɑ:tʃ/ tháng ba
march	diễu hành, hành quân; cuộc hành quân, cuộc diễu hành
mark	/mɑ:k/ dấu, nhãn, nhãn mác; đánh dấu, ghi dấu
market	 chợ, thị trường
marketing	ma-kết-tinh
marriage	sự cưới xin, sự kết hôn, lễ cưới
married	cưới, kết hôn
marry	 cưới (vợ), lấy (chồng)
mass	/mæs/ khối, khối lượng; quần chúng, đại chúng
massive	 to lớn, đồ sộ
master	 chủ, chủ nhân, thầy giáo, thạc sĩ
match	/mætʃ/ trận thi đấu, đối thủ, địch thủ; đối chọi, sánh được
matching	tính địch thù, thi đấu
mate	/meit/ bạn, bạn nghề; giao phối
material	/mə´tiəriəl/ nguyên vật liệu; vật chất, hữu hình
mathematics	BrE, math NAmE) n. /,mæθi'mætiks/ toán học, môn toán
matter	/'mætə/ chất, vật chất; có ý nghĩa, có tính chất quan trọng
maximum	/´mæksiməm/ cực độ, tối đa; trị số cực đại, lượng cực đại, cực độ
may	tháng 5
may	/mei/ có thể, có lẽ
maybe	có thể, có lẽ
mayor	thị trưởng
me	tôi, tao, tớ
meal	bữa ăn
mean	nghĩa, có nghĩa là
meaning	ý, ý nghĩa
means	của cải, tài sản, phương tiện
meanwhile	trong lúc đó, trong lúc ấy
measure	/'meʤə/ đo, đo lường; sự đo lường, đơn vị đo lường
measurement	sự đo lường, phép đo
meat	thịt
media	phương tiện truyền thông đại chúng
medical	 (thuộc) y học
medicine	y học, y khoa; thuốc
medium	/'mi:djəm/ trung bình, trung, vừa; sự trung gian, sự môi giới
meet	gặp, gặp gỡ
meeting	cuộc mít tinh, cuộc biểu tình
melt	tan ra, chảy ra; làm tan chảy ra
member	thành viên, hội viên
membership	tư cách hội viên, địa vị hội  viên
memory	bộ nhớ, trí nhớ, kỉ niệm
mental	(thuộc) trí tuệ, trí óc; mất trí
mentally	về mặt tinh thần
mention	kể ra, nói đến, đề cập
menu	thực đơn
mere	chỉ là
merely	chỉ, đơn thuần
mess	tình trạng bừa bộn, tình trạng lộn xộn; người nhếch nhác, bẩn thỉu
message	tin nhắn, thư tín, điện thông báo, thông điệp
metal	kim loại
method	phương pháp, cách thức
metre	meter) n. /´mi:tə/ mét
mid-	tiền tố: một nửa
midday	trưa, buổi trưa
middle	/'midl/ giữa, ở giữa
midnight	 nửa đêm, 12h đêm
might	/mait/ qk. may có thể, có lẽ
mild	nhẹ, êm dịu, ôn hòa
mile	dặm (đo lường)
military	(thuộc) quân đội, quân sự
milk	sữa
milligram	milligramme) n. (abbr. mg) /´mili¸græm/ mi-li-gam
millimetre	n. (abbr. mm) /´mili¸mi:tə/ mi-li-met
mind	/maid/ tâm trí, tinh thần, trí tuệ; chú ý, để ý, chăm sóc, quan tâm
mine	của tôi
mineral	/ˈmɪnərəl , ˈmɪnrəl/  công nhân, thợ mỏ; khoáng
minimum	/'miniməm/ tối thiểu; số lượng tối thiểu, mức tối thiểu
minister	bộ trưởng
ministry	bộ
minor	nhỏ hơn, thứ yếu, không quan trọng
minority	phần ít, thiểu số
minute	phút
mirror	gương
miss	cô gái, thiếu nữ
miss	/mis/ lỡ, trượt; sự trượt, sự thiếu vắng
missing	vắng, thiếu, thất lạc
mistake	/mis'teik/ lỗi, sai lầm, lỗi lầm; phạm lỗi, phạm sai lầm
mistaken	sai lầm, hiểu lầm
mix	/miks/ pha, trộn lẫn; sự pha trộn
mixed	lẫn lộn, pha trộn
mixture	sự pha trộn, sự hỗn hợp
mobile	'məʊbi:l/  chuyển động, di động
mobile	mobile) n. (BrE)  điện thoại đi động
model	mẫu, kiểu mẫu
modern	hiện đại, tân tiến
moment	 chốc, lát
monday	Mon.) /'mʌndi/  thứ 2
money	 tiền
monitor	/'mɔnitə/ lớp trưởng, màn hình máy tính; nghe, ghi phát thanh, giám sát
month	 tháng
mood	lối, thức, điệu
moon	mặt trăng
moral	, ˈmɒrəl/  (thuộc) đạo đức, luân lý, phẩm hạnh; có đạo đức
morally	đạo đức
more	adv. /mɔ:/ hơn, nhiều hơn
moreover	hơn nữa, ngoài ra, vả lại
morning	buổi sáng
most	adv. /moust/ lớn nhất, nhiều nhất; nhất, hơn cả
mostly	hầu hết, chủ yếu là
mother	mẹ
motion	 sự chuyển động, sụ di động
motor	động cơ mô tô
motorcycle	motorbike) n. /'moutə,saikl/ xe mô tô
mount	/maunt/ leo, trèo; núi
mountain	núi
mouse	- mauz/ chuột
mouth	- mauð/  miệng
move	/mu:v/  di chuyển, chuyển động; sự di chuyển, sự chuyển động
movement	sự chuyển động, sự hoạt động; cử động, động tác
movie	NAmE) /´mu:vi/ phim xi nê
movie	(NAmE) rạp chiếu phim
moving	động, hoạt động
mr	Mr. NAmE, BrE) abbr.
mrs	Mrs. NAmE, BrE) abbr.
ms	Ms. NAmE, BrE) abbr.
much	adv. /mʌtʃ/ nhiều, lắm
mud	 bùn
multiply	nhân lên, làm tăng lên nhiều lần; sinh sôi nảy nở
mum	mẹ
